cum_avg,error
3.14721,0
3.14747,0.000256204
3.14892,0.00146133
3.14722,0.00199474
3.14023,0.007161
3.14362,0.00676074
3.14296,0.00575123
3.14196,0.00508009
3.13789,0.00605866
3.13995,0.00579875
3.14033,0.005259
3.14219,0.00514873
3.14525,0.00563642
3.14561,0.00523073
3.14609,0.00489348
3.14843,0.00513968
3.14969,0.00499064
3.14987,0.0047085
3.14831,0.00471799
3.14626,0.00492422
3.14587,0.00470028
3.14604,0.00448507
3.14576,0.00429493
3.14604,0.00412122
3.1461,0.00395351
3.1449,0.0039851
3.14429,0.00388321
3.14384,0.00376794
3.14303,0.00372529
3.14317,0.00360167
3.14216,0.00362798
3.14133,0.00360829
3.14059,0.00357557
3.14072,0.00347142
3.14059,0.0033735
3.13979,0.00337487
3.14029,0.00332123
3.14058,0.00324564
3.14122,0.00322395
3.14096,0.00315288
3.14159,0.00313896
3.14107,0.00310697
3.14143,0.0030549
3.14105,0.00300841
3.14079,0.0029522
3.14119,0.00291444
3.14112,0.00285255
3.14141,0.00280724
3.14077,0.00282192
3.14049,0.00277888
3.14031,0.00273033
3.14091,0.00274361
3.14162,0.00278459
3.14193,0.00275042
3.14208,0.00270371
3.14242,0.00267784
3.14289,0.00267107
3.14387,0.00280218
3.14401,0.00275802
3.14345,0.00276942
3.14361,0.00272801
3.14324,0.00270875
3.14338,0.00266932
3.1432,0.00263393
3.14244,0.00270203
3.14253,0.0026625
3.14279,0.00263474
3.14223,0.00265526
3.14182,0.0026477
3.14193,0.00261207
3.14174,0.00258264
3.14192,0.00255308
3.14181,0.00252023
3.14182,0.00248597
3.142,0.0024593
3.14202,0.00242682
3.14229,0.0024093
3.1418,0.00242639
3.14214,0.00241895
3.14223,0.00239018
3.14214,0.00236219
3.14213,0.00233322
3.14186,0.0023206
3.14167,0.00230073
3.14211,0.00231503
3.14231,0.00229641
3.14202,0.0022873
3.14179,0.00227339
3.14211,0.00226982
3.14214,0.00224471
3.14219,0.00222048
3.14249,0.00221679
3.14209,0.00223004
3.14194,0.00221101
3.14206,0.00219092
3.14195,0.00217082
3.14199,0.00214866
3.14194,0.00212712
3.14215,0.00211538
3.14209,0.00209476
