sigma,mu,exp_H,error,acceptance
0.600016,0.799364,-0.443691,0.00193557,0.55466
0.647288,0.768305,-0.433877,0.00191307,0.55951
0.618392,0.818816,-0.444164,0.00192361,0.562845
0.602291,0.785355,-0.444897,0.00130572,0.55148
0.58928,0.817061,-0.436798,0.00183162,0.54918
0.602015,0.797358,-0.439374,0.00192123,0.55098
0.607778,0.841328,-0.43751,0.00203331,0.56046
0.625011,0.801047,-0.443524,0.0017909,0.56137
0.601212,0.786475,-0.443056,0.00171005,0.55224
0.601212,0.786475,-0.440114,0.0017967,0.528105
0.61169,0.791223,-0.443933,0.00152781,0.55503
0.602619,0.770949,-0.44109,0.00145633,0.549345
0.584897,0.783352,-0.438388,0.0017382,0.54246
0.590913,0.826279,-0.437424,0.00202825,0.549375
0.610427,0.825292,-0.443173,0.00184289,0.56151
0.610427,0.825292,-0.444847,0.00184075,0.529155
0.610427,0.825292,-0.442727,0.00190461,0.5546
0.610427,0.825292,-0.440186,0.00195048,0.52655
0.610427,0.825292,-0.442553,0.00180336,0.53111
0.610427,0.825292,-0.441601,0.00186889,0.547755
